"Image File","Image URL","Master Code","Item Name","Mapping Status"
"ACC Cement.webp","/api/marketplace/images/material/ACC Cement.webp","","","Pending Review"
"Cement.webp","/api/marketplace/images/material/Cement.webp","","","Pending Review"
"Concrete blocks.webp","/api/marketplace/images/material/Concrete blocks.webp","","","Pending Review"
"CPVC Elbow.webp","/api/marketplace/images/material/CPVC Elbow.webp","","","Pending Review"
"CPVC Pipe.webp","/api/marketplace/images/material/CPVC Pipe.webp","","","Pending Review"
"CPVC Tee.webp","/api/marketplace/images/material/CPVC Tee.webp","","","Pending Review"
"CPVC Union.webp","/api/marketplace/images/material/CPVC Union.webp","","","Pending Review"
"Door frames.webp","/api/marketplace/images/material/Door frames.webp","","","Pending Review"
"GI Modular Box.webp","/api/marketplace/images/material/GI Modular Box.webp","","","Pending Review"
"internal door shutter 1.webp","/api/marketplace/images/material/internal door shutter 1.webp","","","Pending Review"
"Internal door shutter.webp","/api/marketplace/images/material/Internal door shutter.webp","","","Pending Review"
"M-Sand.webp","/api/marketplace/images/material/M-Sand.webp","","","Pending Review"
"Main door shutter.webp","/api/marketplace/images/material/Main door shutter.webp","","","Pending Review"
"MCB.webp","/api/marketplace/images/material/MCB.webp","","","Pending Review"
"Plywood 8'X4'.webp","/api/marketplace/images/material/Plywood 8'X4'.webp","","","Pending Review"
"Ramco cement.webp","/api/marketplace/images/material/Ramco cement.webp","","","Pending Review"
"Red Clay Bricks.webp","/api/marketplace/images/material/Red Clay Bricks.webp","","","Pending Review"
"Socket.webp","/api/marketplace/images/material/Socket.webp","","","Pending Review"
"Switch plate.webp","/api/marketplace/images/material/Switch plate.webp","","","Pending Review"
"Switch.webp","/api/marketplace/images/material/Switch.webp","","","Pending Review"
"TMT bars 8mm.webp","/api/marketplace/images/material/TMT bars 8mm.webp","","","Pending Review"
"TMT Rebars.webp","/api/marketplace/images/material/TMT Rebars.webp","","","Pending Review"
"UPVC windows.webp","/api/marketplace/images/material/UPVC windows.webp","","","Pending Review"
"Wires.webp","/api/marketplace/images/material/Wires.webp","","","Pending Review"
